name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;976;0;976;3069;1795;3069;1795;0
header;190;105;190;141;1794;141;1794;105
A;988;170;988;197;1008;197;1008;170
A;1194;267;1194;275;1201;275;1201;267
A;1755;590;1755;595;1760;595;1760;590
A;1085;680;1085;685;1090;685;1090;680
B;992;889;992;915;1012;915;1012;889
C;989;1588;989;1615;1008;1615;1008;1588
A;1483;2057;1483;2063;1488;2063;1488;2057
D;996;2253;996;2279;1016;2279;1016;2253
A;1527;2647;1527;2654;1533;2654;1533;2647
A;1267;3008;1267;3011;1269;3011;1269;3008
