name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;71;0;71;3071;908;3071;908;0
header;62;133;62;172;1693;172;1693;133
A;870;192;870;219;892;219;892;192
A;183;292;183;298;191;298;191;292
A;313;659;313;667;321;667;321;659
A;460;704;460;711;467;711;467;704
B;871;869;871;898;893;898;893;869
A;844;1021;844;1028;852;1028;852;1021
A;390;1207;390;1213;396;1213;396;1207
A;575;1298;575;1305;582;1305;582;1298
C;870;1539;870;1568;891;1568;891;1539
A;727;1541;727;1549;735;1549;735;1541
A;845;1541;845;1551;855;1551;855;1541
A;488;1542;488;1550;496;1550;496;1542
A;773;1585;773;1595;781;1595;781;1585
A;422;1586;422;1596;431;1596;431;1586
A;654;1586;654;1595;664;1595;664;1586
A;303;1587;303;1597;313;1597;313;1587
A;538;1587;538;1595;546;1595;546;1587
A;846;1587;846;1594;854;1594;854;1587
A;846;1633;846;1640;853;1640;853;1633
A;386;1634;386;1645;395;1645;395;1634
A;738;1634;738;1642;745;1642;745;1634
A;500;1635;500;1643;509;1643;509;1635
A;620;1635;620;1643;627;1643;627;1635
A;268;1636;268;1645;278;1645;278;1636
A;147;1637;147;1647;158;1647;158;1637
A;845;1679;845;1687;853;1687;853;1679
A;539;1680;539;1689;547;1689;547;1680
A;774;1680;774;1688;783;1688;783;1680
A;305;1682;305;1690;314;1690;314;1682
A;182;1684;182;1693;193;1693;193;1684
A;846;1725;846;1733;854;1733;854;1725
A;267;1726;267;1736;278;1736;278;1726
A;622;1726;622;1735;631;1735;631;1726
A;385;1727;385;1735;394;1735;394;1727
A;740;1727;740;1734;747;1734;747;1727
A;145;1728;145;1737;157;1737;157;1728
A;655;1772;655;1782;664;1782;664;1772
A;185;1773;185;1784;195;1784;195;1773
A;847;1817;847;1825;855;1825;855;1817
A;740;1818;740;1826;748;1826;748;1818
A;623;1819;623;1827;631;1827;631;1819
A;505;1820;505;1829;514;1829;514;1820
A;776;1864;776;1872;784;1872;784;1864
A;183;1865;183;1875;193;1875;193;1865
A;421;1866;421;1876;430;1876;430;1866
A;303;1867;303;1876;311;1876;311;1867
A;539;1867;539;1875;548;1875;548;1867
A;847;1910;847;1917;855;1917;855;1910
A;504;1911;504;1920;512;1920;512;1911
A;267;1912;267;1921;277;1921;277;1912
A;738;1912;738;1919;746;1919;746;1912
A;145;1913;145;1922;157;1922;157;1913
A;621;1913;621;1920;629;1920;629;1913
A;846;1956;846;1965;853;1965;853;1956
A;421;1957;421;1966;429;1966;429;1957
A;183;1958;183;1968;193;1968;193;1958
A;657;1958;657;1967;665;1967;665;1958
A;773;1958;773;1966;780;1966;780;1958
A;146;2002;146;2012;157;2012;157;2002
A;846;2002;846;2010;854;2010;854;2002
A;389;2003;389;2011;398;2011;398;2003
A;742;2003;742;2011;749;2011;749;2003
A;625;2004;625;2011;633;2011;633;2004
A;181;2048;181;2058;191;2058;191;2048
A;541;2049;541;2058;548;2058;548;2049
A;301;2050;301;2059;310;2059;310;2050
A;419;2050;419;2058;427;2058;427;2050
A;658;2050;658;2057;665;2057;665;2050
A;776;2050;776;2057;783;2057;783;2050
A;846;2051;846;2057;853;2057;853;2051
A;267;2095;267;2106;277;2106;277;2095
A;384;2095;384;2105;393;2105;393;2095
A;736;2095;736;2104;746;2104;746;2095
A;847;2096;847;2102;853;2102;853;2096
A;500;2097;500;2105;509;2105;509;2097
B;618;2097;618;2106;629;2106;629;2097
A;847;2141;847;2149;854;2149;854;2141
A;425;2142;425;2151;434;2151;434;2142
A;542;2143;542;2151;551;2151;551;2143
A;663;2143;663;2151;670;2151;670;2143
D;868;2361;868;2389;890;2389;890;2361
A;615;2452;615;2477;629;2477;629;2452
A;900;2711;900;2715;902;2715;902;2711
